event_title,presenter_name,event_description
Networking,"Sayeed Sajal, Committee Member"
Welcome,"Vicki Allan, Committee Member"
National Honorable Mentions,"Introduced by Vicki Allan, Committee Member"
Educator Awards,"Introduced by Helen Hu, Committee Member","Josie Reynaud, Maple Mountain High School"
Rising Stars,"introduced by Josie Reynaud"
Honorable Mentions,"Introduced by Jamie Morningstar, Qualtrics"
Winners,"Introduced by Tami Fisher, Zionsbancorp"
College Panel,"Moderated by Amanda Hughes, Committee Member","Panelists:  Makenna Worley (Westminster), Amisha Choudhary (BYU), Emma Lynn(USU),Kate Wang (SLCC), Isabella Bertagnolli (UofU)"
Thanks,"Thanks Sponsors, Industry Representatives, Teachers, College Representative, Parents"
